date,open,close,high,low
2020-01-15,8810.01,8821.41,8916.48,8564.0
2020-01-16,8821.41,8720.01,8859.81,8586.0
2020-01-17,8720.01,8913.28,9041.65,8672.44
2020-01-18,8913.28,8915.96,8988.88,8806.38
2020-01-19,8915.96,8701.7,9198.98,8466.0
2020-01-20,8701.7,8642.35,8746.99,8521.28
2020-01-21,8642.35,8736.03,8789.0,8488.0
2020-01-22,8736.03,8682.36,8818.0,8590.0
2020-01-23,8682.36,8404.52,8691.81,8306.39
2020-01-24,8404.52,8439.0,8528.02,8238.0
2020-01-25,8439.0,8340.58,8451.26,8254.9
2020-01-26,8340.58,8615.0,8618.13,8293.66
2020-01-27,8615.0,8907.57,9000.0,8535.0
2020-01-28,8907.57,9374.21,9400.0,8862.4
2020-01-29,9374.21,9301.53,9449.24,9216.0
2020-01-30,9301.53,9513.21,9578.0,9204.44
2020-01-31,9513.21,9352.89,9530.22,9210.01
2020-02-01,9352.89,9384.61,9464.53,9281.0
2020-02-02,9384.61,9331.51,9477.03,9120.0
2020-02-03,9331.51,9292.24,9618.79,9234.0
