model,lookback,future,pos,val,temp,mse_T,mse_L,mae_T,mae_L,rmse_T,rmse_L,mape_T,mape_L,R2_T,R2_L,mspe,rse
Transformer,48,12,FALSE,FALSE,TRUE,0.00722598,0.00956998,0.06142469,0.07130326,0.08500575,0.09782626,0.02523289,0.02889363,0.96854359,0.95841928,0.00120368,0.17713933
Transformer,48,24,FALSE,FALSE,TRUE,0.01172156,0.3929334,0.08115063,0.57353869,0.10826614,0.626844,0.03410203,0.25949348,0.94806835,-0.7303256,0.00211353,0.22714618
Transformer,48,96,FALSE,FALSE,TRUE,0.05321144,0.61886154,0.17797762,0.72161694,0.23067604,0.78667753,0.07691751,0.32856813,0.74000943,-1.94936142,0.01052784,0.50318605
Transformer,48,192,FALSE,FALSE,TRUE,0.09950231,0.74399344,0.24549018,0.79285466,0.31543988,0.86255055,0.10689199,0.36162912,0.45761632,-2.81522522,0.02013475,0.71346688
Transformer,48,336,FALSE,FALSE,TRUE,0.27915305,0.78214833,0.45725542,0.81753233,0.52834934,0.8843915,0.19954272,0.37279829,-0.7209357,-3.41761814,0.05526501,1.25560164
Transformer,48,720,FALSE,FALSE,TRUE,0.44599882,1.14633696,0.57820588,1.01093743,0.66783142,1.07067126,0.25742188,0.46018062,-3.32697829,-6.97304206,0.09444932,1.76111758
Transformer,72,1,FALSE,FALSE,TRUE,0.00157244,0.1910074,0.03173111,0.38929649,0.03965401,0.43704394,0.01320601,0.17340988,0.99286952,0.13319368,0.00026398,0.08444215
Transformer,72,12,FALSE,FALSE,TRUE,0.00608892,0.00783921,0.05691684,0.06665373,0.0780315,0.08853929,0.02370876,0.02796367,0.97184775,0.96387869,0.00106528,0.1674657
Transformer,72,24,FALSE,FALSE,TRUE,0.01036182,0.45748052,0.07301614,0.61706175,0.10179303,0.67637306,0.03068041,0.28035841,0.95109823,-1.14182649,0.00185141,0.2202508
Transformer,72,96,FALSE,FALSE,TRUE,0.03830331,0.67961479,0.14954562,0.75693319,0.19571231,0.82438753,0.06395411,0.34549568,0.80358624,-2.40066438,0.00736459,0.43766755
Transformer,72,192,FALSE,FALSE,TRUE,0.08954552,0.76056086,0.23916984,0.8023808,0.29924157,0.87210141,0.10422014,0.36637843,0.49735484,-3.07263299,0.01812665,0.69208801
Transformer,72,336,FALSE,FALSE,TRUE,0.18007696,0.69503172,0.35271433,0.7679693,0.42435476,0.83368562,0.15604375,0.3505437,-0.14972813,-3.0897492,0.03709047,1.02563608
Transformer,96,1,FALSE,FALSE,TRUE,0.00137481,0.20125283,0.02646063,0.4031057,0.03707847,0.44861211,0.01059309,0.18117948,0.99335098,0.02667938,0.00020373,0.0815415
Transformer,96,12,FALSE,FALSE,TRUE,0.00594359,0.01904821,0.05564143,0.11495414,0.07709468,0.13801525,0.02326212,0.05176993,0.97092024,0.90697179,0.00105436,0.17030871
Transformer,96,24,FALSE,FALSE,TRUE,0.01178639,0.45328253,0.07962758,0.61332351,0.10856514,0.6732626,0.03353785,0.27950292,0.94159137,-1.23562587,0.00212069,0.2410682
Transformer,96,96,FALSE,FALSE,TRUE,0.05744138,0.64075285,0.1822259,0.7344479,0.23966931,0.8004704,0.07968443,0.33565198,0.69341314,-2.33922846,0.01172993,0.54712635
Transformer,96,192,FALSE,FALSE,TRUE,0.07507817,0.68390611,0.22160777,0.76020619,0.27400395,0.82698616,0.09680889,0.34759778,0.56345205,-2.80942644,0.01531936,0.64666617
Transformer,96,336,FALSE,FALSE,TRUE,0.26363635,0.77173339,0.4432807,0.81172538,0.51345533,0.87848358,0.19783059,0.3712093,-0.75537703,-3.7218831,0.05588698,1.26710629
